location; area_m2 ; hall_count ;room_count;building_age;floor_number;bathroom_count;has_balcony;is_in_site;has_elevator;price
Golbasi;150;1;3;4;16;2;yes;yes;yes;12950000
Mamak;125;1;3;4;4;2;yes;yes;yes;3340000
Cankaya;130;1;3;33;3;1;yes;no;no;4875000
Cankaya;105;1;3;28;0;1;yes;no;no;3075000
Yenimahalle;250;1;5;0;7;3;yes;yes;yes;7700000
Golbasi;140;1;3;0;2;2;yes;no;yes;5950000
Etimesgut;132;1;3;18;7;1;yes;yes;yes;3475000
Sincan;100;1;2;14;1;1;yes;no;yes;2300000
Kecioren;250;1;4;3;9;2;yes;yes;yes;9990000
Altındag;110;1;1;23;3;1;yes;no;no;1375000
Cankaya;95;1;2;17;1;1;yes;no;no;3425000
Mamak;135;1;3;0;5;2;yes;no;yes;3489000
Golbasi;100;1;2;0;3;2;yes;no;yes;6300000
Yenimahalle;150;1;3;12;1;1;yes;yes;yes;5490000
Yenimahalle;95;1;2;0;12;1;yes;yes;yes;4500000
Mamak;45;1;1;0;0;1;yes;no;yes;1630000
Kecioren;130;1;3;14;3;1;yes;no;no;3149000
Sincan;150;1;3;4;4;2;yes;yes;yes;4539000
Etimesgut;145;1;3;13;2;1;yes;no;no;3947000
Golbasi;55;1;1;0;0;1;yes;yes;yes;4100000
Cankaya;300;1;5;16;3;2;yes;no;no;4800000
Cankaya;53;1;1;0;0;1;yes;no;yes;2750000
Altındag;140;1;3;7;0;2;yes;yes;yes;3400000
Yenimahalle;135;1;3;17;2;2;yes;no;yes;4125000
Sincan;130;1;3;3;0;1;yes;no;yes;3090000
Mamak;225;1;5;0;22;3;yes;yes;yes;8945000
Kecioren;100;1;2;4;0;1;yes;no;yes;2270000
Kecioren;145;1;3;0;3;2;yes;no;yes;4787000
Etimesgut;55;1;1;22;3;1;yes;no;no;2790000
Mamak;200;1;4;2;7;2;yes;yes;yes;6199000
Altındag;145;1;3;8;1;2;yes;no;yes;3499000
Cankaya;105;1;3;29;2;1;yes;no;no;4590000
Golbasi;203;1;4;0;0;2;yes;yes;yes;6400000
Cankaya;155;1;3;22;2;2;yes;no;no;5900000
Golbasi;220;1;4;8;6;2;yes;yes;yes;6800000
Golbasi;232;1;4;0;2;2;yes;yes;yes;8275000
Mamak;120;1;3;1;3;1;yes;no;yes;3100000
Altındag;135;1;3;9;2;1;yes;no;yes;2990000
Yenimahalle;130;1;3;24;0;1;yes;yes;no;3600000
Yenimahalle;155;1;3;0;1;2;yes;yes;yes;4750000
